backers_count,category,country,creator,currency,disable_communication,goal,is_starrable,staff_pick,state,urls,usd_pledged,location,blurb_length,duration
2,art,US,1828407961,USD,False,50.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1828407961/i-will-draw-you-normal-edit-or-grime-edit?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1828407961/i-will-draw-you-normal-edit-or-grime-edit/rewards'}",12.0,"Staten Island, NY",23,60
9,art,US,1292349819,USD,False,5700.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1292349819/two-regimes-education-and-art-restoration?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1292349819/two-regimes-education-and-art-restoration/rewards'}",1185.0,"Tallahassee, FL",19,60
2,art/painting,US,1433658402,USD,False,10000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/decadentdecayart/bring-me-the-darkness-beautiful-dark-art?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/decadentdecayart/bring-me-the-darkness-beautiful-dark-art/rewards'}",162.0,"Phoenix, OR",19,45
0,art/public art,MX,922554964,MXN,False,200000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/922554964/campeonato-mundial-de-peluqueros-expo-barber-of-th?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/922554964/campeonato-mundial-de-peluqueros-expo-barber-of-th/rewards'}",0.0,"Mexico City, Mexico",21,59
18,art/public art,NZ,128642220,NZD,False,250000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/thejurassicmuseum/the-jurassic-museum-new-zealands-dinosaur-and-foss?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/thejurassicmuseum/the-jurassic-museum-new-zealands-dinosaur-and-foss/rewards'}",1112.22182082,"New Plymouth, NZ",19,59
2,art/mixed media,US,584492351,USD,False,6363.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/584492351/express-myself?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/584492351/express-myself/rewards'}",200.0,"Trenton, NJ",22,38
26,art/sculpture,US,293454915,USD,False,10000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/operationgoldenduck/trump-duck-making-rubber-ducks-great-again?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/operationgoldenduck/trump-duck-making-rubber-ducks-great-again/rewards'}",856.0,"Los Angeles, CA",11,60
10,art/mixed media,GB,1800924005,GBP,False,500.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1800924005/crowdfunding-to-canada-an-artists-mission?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1800924005/crowdfunding-to-canada-an-artists-mission/rewards'}",348.67077691,"Manchester, UK",11,52
5,art,US,884786704,USD,False,1815.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/rosecolleenart/sailor-moon-evil-pins-series?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/rosecolleenart/sailor-moon-evil-pins-series/rewards'}",49.0,"Nokomis, FL",23,60
34,art/illustration,US,30384783,USD,False,360.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/30384783/make-100-watercolor-painting-of-extinct-animals?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/30384783/make-100-watercolor-painting-of-extinct-animals/rewards'}",433.0,"New York, NY",7,60
222,art/illustration,US,730497413,USD,False,2000.0,True,True,live,"{'project': 'https://www.kickstarter.com/projects/730497413/make-100-birds-you-will-never-see-again?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/730497413/make-100-birds-you-will-never-see-again/rewards'}",8299.0,"East Hopewell, PA",24,60
0,art/installations,US,969996014,USD,False,150000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/969996014/visual-art-one?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/969996014/visual-art-one/rewards'}",0.0,"Norfolk, VA",23,60
0,art,US,430598797,USD,False,22000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/430598797/longboarding-backpack-trip-scotland-to-bottom-of-s?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/430598797/longboarding-backpack-trip-scotland-to-bottom-of-s/rewards'}",0.0,"Edinburgh, UK",23,48
1,art/illustration,US,1120629225,USD,False,1000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1120629225/bible-of-the-sacred-clowns?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1120629225/bible-of-the-sacred-clowns/rewards'}",1.0,"Philadelphia, PA",23,60
6,art,US,1178101818,USD,False,150.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/1178101818/stained-glass-coasters?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1178101818/stained-glass-coasters/rewards'}",180.0,"Las Vegas, NV",24,30
67,art,US,672080674,USD,False,4000.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/672080674/vision-of-the-muse?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/672080674/vision-of-the-muse/rewards'}",4491.0,"Oakland, CA",21,30
28,art/digital art,US,2006384446,USD,False,500.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/2006384446/avery-the-axolotl-enamel-pin?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/2006384446/avery-the-axolotl-enamel-pin/rewards'}",738.0,"Tampa, FL",14,30
15,art,GB,1038058596,GBP,False,250.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/ehmahh/vintage-pin-up-lady-with-skull-soft-enamel-pin?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/ehmahh/vintage-pin-up-lady-with-skull-soft-enamel-pin/rewards'}",185.53181625,"Dartford, UK",9,30
33,art,US,1526426797,USD,False,15000.0,True,True,live,"{'project': 'https://www.kickstarter.com/projects/theperfectcardigan/new-life-to-an-old-church?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/theperfectcardigan/new-life-to-an-old-church/rewards'}",2979.0,"San Francisco, CA",19,33
3,art/textiles,US,101133607,USD,False,3500.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/aradianaware/journalistic-masterpiece?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/aradianaware/journalistic-masterpiece/rewards'}",265.0,"Richmond, VA",21,45
6,art/public art,US,1567188800,USD,False,1500.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1567188800/life-in-simsbury-a-public-art-trail?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1567188800/life-in-simsbury-a-public-art-trail/rewards'}",805.0,"Simsbury, CT",23,59
5,art/painting,DE,2088681332,EUR,False,150.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/2088681332/original-watercolor-and-pastel-art-from-artist?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/2088681332/original-watercolor-and-pastel-art-from-artist/rewards'}",280.3240552,"Munich, Germany",21,35
1,art,US,847984130,USD,False,32000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/847984130/art-series-our-xenophobic-fears-yet-our-common-hum?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/847984130/art-series-our-xenophobic-fears-yet-our-common-hum/rewards'}",400.0,"Encinitas, CA",19,45
51,art/illustration,CA,1957560427,CAD,False,2500.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/infiniteartbook/infinite-artbook?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/infiniteartbook/infinite-artbook/rewards'}",2187.86241176,"Toronto, Canada",19,35
15,art,US,1291900331,USD,False,570.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/inolacreations/bottled-weather-an-enamel-pin-series?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/inolacreations/bottled-weather-an-enamel-pin-series/rewards'}",317.0,"Chicago, IL",9,35
83,art/digital art,US,2059512102,USD,False,230.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/2059512102/sailor-moon-enamel-pins-0?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/2059512102/sailor-moon-enamel-pins-0/rewards'}",3365.0,"Denver, CO",10,35
19,art,US,7843077,USD,False,50.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/7843077/whiskey-and-wine-barrel-pens?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/7843077/whiskey-and-wine-barrel-pens/rewards'}",795.0,"Chambersburg, PA",9,30
14,art/painting,MX,826790557,MXN,False,45000.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/826790557/checa-en-el-ing-creatives?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/826790557/checa-en-el-ing-creatives/rewards'}",147.21932775,"Guadalajara, Mexico",27,30
0,art/digital art,DE,111068890,EUR,False,4000.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/111068890/art-from-the-poor-for-the-rich-wwwaftpftrcom?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/111068890/art-from-the-poor-for-the-rich-wwwaftpftrcom/rewards'}",0.0,"Helsinki, Finland",30,30
3,art,US,1755390789,USD,False,2650.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1755390789/lesley-hollon-jewelry-made-with-natural-materials?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1755390789/lesley-hollon-jewelry-made-with-natural-materials/rewards'}",300.0,"New Orleans, LA",21,59
85,art/illustration,US,1752084284,USD,False,600.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/jeszika/anubis-egyptian-mythology-art-prints-make-100?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/jeszika/anubis-egyptian-mythology-art-prints-make-100/rewards'}",4314.0,"Scranton, PA",14,30
40,art/digital art,US,1316361620,USD,False,100.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/jemaica/chromasphere-artbook-by-jemaica?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/jemaica/chromasphere-artbook-by-jemaica/rewards'}",1335.0,"Dallas, TX",11,30
21,art/illustration,MX,1764386789,MXN,False,5700.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/1764386789/the-seasons-sisters-enamel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1764386789/the-seasons-sisters-enamel-pins/rewards'}",633.9715195,"Cancun, Mexico",10,30
5,art,CA,750104310,CAD,False,100.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/750104310/make-100-oracle-cards?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/750104310/make-100-oracle-cards/rewards'}",241.463463,"Downtown Toronto, Canada",15,59
3,art/sculpture,US,1465661621,USD,False,1300.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1465661621/massk-production-double-skull?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1465661621/massk-production-double-skull/rewards'}",100.0,"Essex Junction, VT",18,36
0,art/digital art,US,339458300,USD,False,20000.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/339458300/movie-palaces?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/339458300/movie-palaces/rewards'}",0.0,"Tacoma, WA",21,30
2,art/digital art,US,1848196774,USD,False,3700.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/1848196774/make-100-lovely-animal-art-prints?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1848196774/make-100-lovely-animal-art-prints/rewards'}",41.0,"Canton, OH",17,30
25,art/illustration,US,1759779461,USD,False,500.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/1759779461/melrakki-make-100-letterpress-arctic-fox-prints?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1759779461/melrakki-make-100-letterpress-arctic-fox-prints/rewards'}",644.0,"Berkeley, CA",20,30
31,art/illustration,US,372699670,USD,False,1400.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/372699670/pop-culture-mini-character-standees-for-make-100?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/372699670/pop-culture-mini-character-standees-for-make-100/rewards'}",1005.0,"Ann Arbor, MI",22,30
