backers_count,category,country,creator,currency,disable_communication,goal,is_starrable,staff_pick,state,usd_pledged,location,blurb_length,duration
2,0,21,1828407961,13,0,-0.03765783414645379,1,0,live,12.0,12123,0.7510815828790086,2.0742523401388424
9,0,21,1292349819,13,0,-0.032983124075558104,1,0,live,1185.0,12481,-0.07438040902660854,2.0742523401388424
2,7,21,1433658402,13,0,-0.029425380127796788,1,0,live,162.0,9866,-0.07438040902660854,0.8951649343091811
0,9,15,922554964,8,0,-0.029090839672712598,1,0,live,0.0,7996,0.33835058692620007,1.9956465130835315
18,9,18,128642220,10,0,0.11062972374634716,1,0,live,1112.22182082,8785,-0.07438040902660854,1.9956465130835315
2,6,21,584492351,13,0,-0.03243456960175212,0,0,live,200.0,12879,0.5447160849026044,0.34492414492200585
26,10,21,293454915,13,0,-0.029425380127796788,1,0,live,856.0,7307,-1.7253043928378429,2.0742523401388424
10,6,9,1800924005,5,0,-0.037137950277638596,1,0,live,348.67077691,7584,-1.7253043928378429,1.4454057236963562
5,0,21,884786704,13,0,-0.03619750436324478,1,0,live,49.0,8945,0.7510815828790086,2.0742523401388424
34,4,21,30384783,13,0,-0.037401345629289595,1,0,live,433.0,8801,-2.55076638474346,2.0742523401388424
222,4,21,730497413,13,0,-0.0360444386352597,1,1,live,8299.0,3560,0.957447080855413,2.0742523401388424
0,5,21,969996014,13,0,0.08640814375280415,1,0,live,0.0,8960,0.7510815828790086,2.0742523401388424
0,0,21,430598797,13,0,-0.019496792366602424,1,0,live,0.0,3693,0.7510815828790086,1.1309824154751134
1,4,21,1120629225,13,0,-0.03687182094869256,1,0,live,1.0,9853,0.7510815828790086,2.0742523401388424
6,0,21,1178101818,13,0,-0.0375750959151105,0,0,live,180.0,6846,0.957447080855413,-0.2839224715204801
67,0,21,672080674,13,0,-0.034389674008393975,0,0,live,4491.0,9244,0.33835058692620007,-0.2839224715204801
28,3,21,2006384446,13,0,-0.037285512105408994,0,0,live,738.0,12492,-1.1062078989086301,-0.2839224715204801
15,0,9,1038058596,5,0,-0.037414933367043345,0,0,live,185.53181625,3061,-2.1380353887906516,-0.2839224715204801
33,0,21,1526426797,13,0,-0.02528846856063247,1,1,live,2979.0,11027,-0.07438040902660854,-0.048104990354547884
3,11,21,101133607,13,0,-0.03480336516511041,1,0,live,265.0,10561,0.33835058692620007,0.8951649343091811
6,9,21,1567188800,13,0,-0.03645812979197613,1,0,live,805.0,11542,0.7510815828790086,1.9956465130835315
5,7,5,2088681332,4,0,-0.03754794119779787,1,0,live,280.3240552,8511,0.33835058692620007,0.10910666375607361
1,0,21,847984130,13,0,-0.011222969232273785,1,0,live,400.0,3864,-0.07438040902660854,0.8951649343091811
51,4,3,1957560427,1,0,-0.03603907976275383,1,0,live,2187.86241176,12813,-0.07438040902660854,0.10910666375607361
15,0,21,1291900331,13,0,-0.03722759534346869,1,0,live,317.0,2334,-2.1380353887906516,0.10910666375607361
83,3,21,2059512102,13,0,-0.03750890533003587,0,0,live,3365.0,3191,-1.9316698908142473,0.10910666375607361
19,0,21,7843077,13,0,-0.03765783414645379,0,0,live,795.0,2191,-2.1380353887906516,-0.2839224715204801
14,7,15,826790557,8,0,-0.03572395999765257,0,0,live,147.21932775,5050,1.576543574784626,-0.2839224715204801
